(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
84,16,15,negation
66,34,15,shift
61,39,15,shift
78,22,15,multiplicative
89,11,15,multiplicative
(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
2,3,15,negation
1,4,15,shift
2,3,15,multiplicative
(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
40,10,14,negation
20,30,14,shift
38,12,14,multiplicative
38,12,14,additive
(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
42,8,14,negation
26,24,14,shift
41,9,14,multiplicative
(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
44,6,15,negation
46,4,15,negation
26,24,15,shift
26,24,15,shift
41,9,15,multiplicative
38,12,15,multiplicative
(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
40,10,15,negation
21,29,15,shift
37,13,15,multiplicative
(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
81,19,15,negation
53,47,15,shift
81,19,15,multiplicative
(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
1926,74,15,negation
1885,115,15,shift
1890,110,15,multiplicative
(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
43,7,15,negation
23,27,15,shift
38,12,15,multiplicative
39,11,15,additive
(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
249,51,15,negation
142,158,15,shift
230,70,15,multiplicative
249,51,15,additive
(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
1078,122,15,negation
789,411,15,shift
1011,189,15,multiplicative
1066,134,15,additive
(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
79,21,15,negation
31,69,15,shift
63,37,15,multiplicative
76,24,15,additive
(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
7,3,15,negation
5,5,15,shift
7,3,15,multiplicative
9,1,15,additive
(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
1073,127,10,negation
689,511,10,shift
1022,178,10,multiplicative
1072,128,10,additive
(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
205,45,40,negation
205,45,40,shift
220,30,40,multiplicative
(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
229,21,10,negation
171,79,10,shift
211,39,10,multiplicative
(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
182,18,14,negation
137,63,14,shift
171,29,14,multiplicative
(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
179,21,14,negation
124,76,14,shift
172,28,14,multiplicative
(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
177,23,14,negation
125,75,14,shift
166,34,14,multiplicative
(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
177,23,14,negation
131,69,14,shift
167,33,14,multiplicative
(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
87,13,14,negation
61,39,14,shift
81,19,14,multiplicative
(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
182,18,14,negation
141,59,14,shift
172,28,14,multiplicative
(liczba pakietów poprawnych)  (liczba pakietów z błędami)  (procentowa ilość 1)  (rodzaj scramblera)
1818,182,10,negation
1167,833,10,shift
1710,290,10,multiplicative
